Part Number,Use for,Capacitance,Tolerance,Size(inch/mm),Rated Vdc,TCC,T Size Max,Features
CL32A227MQVNNN,General,220uF, +/-20%,1210/3225,6.3Vdc,X5R,2.8mm,Features Normal
CL31A227MSKNNW,General,220uF, +/-20%,1206/3216,2.5Vdc,X5R,1.9mm,Features Normal
CL31A227MRKNNW,General,220uF, +/-20%,1206/3216,4Vdc,X5R,1.9mm,Features Normal
CL31A227MQKNNW,General,220uF, +/-20%,1206/3216,6.3Vdc,X5R,1.9mm,Features Normal
CL32A227MQVN4S,General,220uF, +/-20%,1210/3225,6.3Vdc,X5R,2.8mm,Features Normal
CL32A227MQVNNW,General,220uF, +/-20%,1210/3225,6.3Vdc,X5R,2.8mm,Features Normal
CL32A227MQVNSW,General,220uF, +/-20%,1210/3225,6.3Vdc,X5R,2.8mm,Features Normal
CL32A157MQVNNW,General,150uF, +/-20%,1210/3225,6.3Vdc,X5R,2.8mm,Features Normal
CL32A157MQVNNN,General,150uF, +/-20%,1210/3225,6.3Vdc,X5R,2.8mm,Features Normal
CL32A107MPVNNN,General,100uF, +/-20%,1210/3225,10Vdc,X5R,2.8mm,Features Normal
CL32A107MPVNNW,General,100uF, +/-20%,1210/3225,10Vdc,X5R,2.8mm,Features Normal
CL31A107MPKNNW,General,100uF, +/-20%,1206/3216,10Vdc,X5R,1.9mm,Features Normal
CL31A107MQHNNN,General,100uF, +/-20%,1206/3216,6.3Vdc,X5R,1.8mm,Features Normal
CL31A107MQKNNN,General,100uF, +/-20%,1206/3216,6.3Vdc,X5R,1.9mm,Features Normal
CL31A107MRKNNW,General,100uF, +/-20%,1206/3216,4Vdc,X5R,1.9mm,Features Normal
CL31A107MQKNNW,General,100uF, +/-20%,1206/3216,6.3Vdc,X5R,1.9mm,Features Normal
CL32A107MQVNNW,General,100uF, +/-20%,1210/3225,6.3Vdc,X5R,2.8mm,Features Normal
CL31A107MQHNNW,General,100uF, +/-20%,1206/3216,6.3Vdc,X5R,1.8mm,Features Normal
CL32A107MQVNNN,General,100uF, +/-20%,1210/3225,6.3Vdc,X5R,2.8mm,Features Normal
CL32A476MQJNNW,General,47uF, +/-20%,1210/3225,6.3Vdc,X5R,2.7mm,Features Normal
CL31A476MOKNNW,General,47uF, +/-20%,1206/3216,16Vdc,X5R,1.9mm,Features Normal
CL31A476MPHNNN,General,47uF, +/-20%,1206/3216,10Vdc,X5R,1.8mm,Features Normal
CL31A476MQHNNN,General,47uF, +/-20%,1206/3216,6.3Vdc,X5R,1.8mm,Features Normal
CL32A476KOJNNW,General,47uF, +/-10%,1210/3225,16Vdc,X5R,2.7mm,Features Normal
CL32B476MQJNNN,General,47uF, +/-20%,1210/3225,6.3Vdc,X7R,2.7mm,Features Normal
CL32B476MPJNNW,General,47uF, +/-20%,1210/3225,10Vdc,X7R,2.7mm,Features Normal
CL32A476MPJNNW,General,47uF, +/-20%,1210/3225,10Vdc,X5R,2.7mm,Features Normal
CL32B476KPJNNN,General,47uF, +/-10%,1210/3225,10Vdc,X7R,2.7mm,Features Normal
CL32B476MPJNNN,General,47uF, +/-20%,1210/3225,10Vdc,X7R,2.7mm,Features Normal
CL31A476KQHNNW,General,47uF, +/-10%,1206/3216,6.3Vdc,X5R,1.8mm,Features Normal
CL10A476MQ8I3R,General,47uF, +/-20%,0603/1608,6.3Vdc,X5R,1mm,Features Normal
